agency,budget,per_capita,item,surrogate_pair,description
Consumer Financial Protection Bureau (CFFB),507000000,1.589840075,a loaf of white bread,\uD83C\uDF5E,"The Consumer Financial Protection Bureau is an independent agency created in 2010 as part of the Dodd-Frank Wall Street Reform and Consumer Protection Act and is responsible for consumer protection in the financial sector. Its jurisdiction includes banks, credit unions, securities firms, payday lenders, mortgage-servicing operations, foreclosure relief services, debt collectors, and other financial companies operating in the United States."
Central Intelligence Agency (CIA),514000000,1.61179053,a dog bone,\uD83C\uDF56,"The Central Intelligence Agency is an independent, civilian foreign-intelligence service of the U.S. Government, tasked with gathering, processing, and analyzing national security information from around the world. "
Consumer Product Safety Commission (CPSC),120000000,0.376293509,a lightswitch plate,\uD83D\uDCA1,"The CPSC regulates the sale and manufacture of consumer products, establishing safety requirements, issuing recalls of products already on the market, and researching potential hazards associated with consumer products."
Corporation for Public Broadcasting (CPB),445000000,1.395421762,a pound of Red Delicious apples,\uD83C\uDF4E,The Corporation for Public Broadcasting is an American non-profit corporation created by an act of the United States Congress in 1967 and funded by the United States federal government to promote and help support and fund public broadcasting.
Department of Agriculture (USDA),1.39E+11,436.2339291,the yearly amount spent on pets,\uD83D\uDC36,"The United States Department of Agriculture (USDA) is responsible for developing and executing federal policy on farming, agriculture, forestry, and food. It aims to meet the needs of farmers and ranchers, promote agricultural trade and production, work to assure food safety, protect natural resources, foster rural communities, and end hunger in the United States and internationally."
Department of Commerce,8958000000,28.09031044,A year's subscription to The Atlantic,\uD83D\uDCF0,"The United States Department of Commerce is the Cabinet department of the United States government concerned with promoting economic growth, technological competitiveness, and sustainable development."
Department of Defense--Military Programs,5.62E+11,1763.872687,a 65-inch television,\uD83D\uDCFA,"The United States Department of Defense coordinates and supervises all agencies and functions of the government concerned directly with national security and the United States Armed Forces. The DOD is also the largest employer in the world, with more than 2.13 million active duty servicemen and women as well as a support staff of civilian workers."
Department of Education,90029000000,282.3110693,a Playstation 4,\uD83D\uDD79,"The United States Department of Education works to ""establish policy for, administer, and coordinate most federal assistance to education, collect data on US schools, and to enforce federal educational laws regarding privacy and civil rights."" The Department of Education does not establish schools or colleges."
Department of Energy (DOE),25424000000,79.72405143,an Amazon Kindle,\uD83D\uDCDA,"The United States Department of Energy is concerned with energy policies and safety in handling nuclear material. Its responsibilities include the nation's nuclear weapons program, nuclear reactor production for the United States Navy, energy conservation, energy-related research, radioactive waste disposal, and domestic energy production."
Department of Health and Human Services (HHS),1.03E+12,3222.035121,a yearly car payment,\uD83D\uDE97,"The United States Department of Health and Human Services has the goal of protecting the health of all Americans and providing essential human services. Under its jurisdiction are the Centers for Disease Control and Prevention (CDC), the Food and Drug Administration (FDA), the National Institutes of Health (NIH), the Office of the Surgeon General, and Medicare and Medicaid programs, among others."
Department of Homeland Security (DHS),42573000000,133.4995296,Yearly Spotify subscription,\uD83C\uDFB6,"The United States Department of Homeland Security was created in response to the September 11 attacks, and has the primary responsibilities of protecting the United States and its protectorates from, and responding to: terrorist attacks, man-made accidents, and natural disasters. "
Department of Housing and Urban Development (HUD),35527000000,111.4048291,a yearly Amazon Prime subscription,\uD83D\uDCE6,"The United States Department of Housing and Urban Development works to ensure fair and equal housing opportunity for all. The department administers programs that provide housing and community development assistance and aims to create strong, sustainable, inclusive communities and quality affordable homes for all."
Department of Justice (DOJ),26906000000,84.37127626,a monthly cell phone bill,\uD83D\uDCF1,"The United States Department of Justice is responsible for the enforcement of the law and fair and impartial administration of justice in the United States. The DOJ is headed by the U.S. Attorney General and also oversees the functioning of the Federal Bureau of Investigation (FBI), the Drug Enforcement Agency (DEA), and the Federal Bureau of Prisons, among others."
Department of Labor,45217000000,141.7905299,a Fitibt,\uD83C\uDFC3,"The United States Department of Labor aims to foster, promote, and develop the welfare of the wage earners, job seekers, and retirees of the United States; improve working conditions; advance opportunities for profitable employment; and assure work-related benefits and rights."
Department of State,26498000000,83.09187833,a monthly cell phone bill,\uD83D\uDEF0,"The United States Department of State is responsible for the international relations and diplomacy of the United States. The State Department Êadvises the President and leads the nation on foreign policy issues, negotiates treaties and agreements with foreign entities, and represents the United States at the United Nations."
Department of the Interior,12340000000,38.69551584,a fishing rod,\uD83C\uDFA3,"The United States Department of the Interior is responsible for the management and conservation of most federal land, natural resources, and wildlife, and upholds and administers federal programs relating to Native Americans, Alaska Natives, Native Hawaiians, territorial affairs, and insular areas of the United States."
Department of the Treasury,4.86E+11,1522.806522,a yearly car insurance payment,\uD83D\uDCC4,"The United States Department of the Treasury manages Federal finances by collecting taxes and paying bills, and by managing currency, government accounts, and public debt. The Treasury also enforces finance and tax laws."
Department of Transportation,75425000000,236.5161493,a plane ticket for a short flight,\uD83D\uDEEB,The United States Department of Transportation is responsible for planning and coordinating federal transportation projects. It also sets safety regulations for all major modes of transportation. 
Department of Veterans Affairs,1.59E+11,499.2662277,an iPad Air,\uD83D\uDCF1,"The United States Department of Veterans Affairs supports veterans in their time after service and administers programs that provide services, benefits, and support for veterans, their families, and survivors."
Environmental Protection Agency (EPA),7007000000,21.97240514,two movie tickets,\uD83C\uDFA5,The United States Environmental Protection Agency aims to protect human health and the environment by writing and enforcing regulations based on laws passed by Congress. The EPA also sponsors and conducts research and develops and enforces environmental regulations.
